PRESETn,PSELx,PWRITE,PENABLE,ERROR,TX_EMPTY,RX_EMPTY  WR_ENA,RD_ENA,PREADY,PSLVERR,INT_RX,INT_TX
0000000 000000
0000000 000000
1011101 000110
0011101 000110
0111010 000001
1001001 000010
1001110 000101
1011011 000011
0011111 000111
1001011 000011
0001111 000111
0110110 000101
1100001 000010
0001111 000111
1100110 000101
0011100 000100
0000101 000110
1001001 000010
0000000 000000
0111000 000000
0100100 000100
0101010 001001
1100101 000110
0001011 000011
1101100 011100
0110010 000001
1001001 000010
0110100 000100
0011010 000001
1001111 000111
0011000 000000
0110001 000010
0010011 000011
1111010 001001
0111111 001111
0010110 000101
0101110 011101
1101110 011101
1001100 000100
1111101 001110
1100000 000000
1110100 000100
0001001 000010
0101100 011100
1101100 001100
1100001 000010
1111110 001101
0110101 000110
0110010 000001
0101010 001001
0010011 000011
0110101 000110
1001000 000000
0000111 000111
1110011 000011
1001011 000011
0100111 000111
0111101 001110
0011001 000010
0011110 000101
1000101 000110
0010001 000010
0001110 000101
1000000 000000
0110111 000111
0001000 000000
0100101 000110
1011111 000111
1010100 000100
0100100 000100
1101111 001111
1100001 000010
0010111 000111
1100000 000000
0100000 000000
0100100 000100
0111101 001110
1111001 101010
1011100 000100
0001100 000100
0110101 000110
1010100 000100
0110000 000000
0110000 000000
1100010 000001
0001101 000110
1001100 000100
1100010 000001
1101010 001001
1010111 000111
0000110 000101
0001001 000010
0010110 000101
1101001 001010
1110111 000111
0110111 000111
1101011 001011
1100001 000010
0101000 000000
1111100 000100
1001000 000000
0001100 000100
0100001 000010
1011101 000110
1010011 000011
0111011 101011
0001000 000000
0110110 000101
1101111 000111
1011011 000011
1110000 000000
0100111 000111
1001010 000001
0101100 000100
1111101 001110
0110101 000110
0011000 000000
1101000 001000
1001110 000101
1101110 001101
0000111 000111
0101000 001000
0110100 000100
1111000 101000
1011101 000110
0110001 000010
1100111 000111
1001110 000101
0010011 000011
0001000 000000
0000001 000010
0011100 000100
0100011 000011
0000101 000110
0010001 000010
1011100 000100
0010101 000110
1000011 000011
0000000 000000
1010000 000000
0111101 001110
0111001 000010
1111000 101000
0001011 000011
1110100 000100
0011000 000000
1000000 000000
1110111 000111
1110001 000010
0110010 000001
1111101 001110
1100001 000010
0111010 001001
1011111 000111
1101001 001010
1101000 011000
1011100 000100
0010011 000011
1011000 000000
0100110 000101
0100110 000101
1111011 000011
1001011 000011
1100100 000100
1111001 101010
0000111 000111
0100110 000101
0101010 001001
0110001 000010
1101101 011110
1000100 000100
0101100 001100
1010000 000000
1000011 000011
1011001 000010
1010101 000110
0110001 000010
1000110 000101
0011111 000111
1001101 000110
1101101 001110
0000110 000101
0010001 000010
0001111 000111
1000100 000100
0100111 000111
0111001 101010
1101011 001011
1001110 000101
0110101 000110
1110110 000101
0111100 000100
0011010 000001
1000000 000000
0011010 000001
1011101 000110
0111000 101000
0101010 001001
1011000 000000
0100110 000101
0011100 000100
0010100 000100
1001011 000011
0110100 000100
0011110 000101
0001001 000010
0111010 101001
1110011 000011
1110111 000111
0001111 000111
1000011 000011
1111100 001100
1011010 000001
1101100 011100
1001000 000000
0011100 000100
1001010 000001
0010000 000000
0101000 001000
0100111 000111
0000011 000011
1101100 001100
1111011 001011
0001010 000001
1101000 000000
0011101 000110
0011000 000000
1111101 001110
0101011 011011
0110110 000101
1100100 000100
0111000 001000
1111110 101101
1010010 000001
1101011 000011
0010001 000010
1111001 001010
0001110 000101
1101011 011011
0100111 000111
1111100 001100
1001001 000010
1101011 011011
0011000 000000
0000001 000010
0111000 001000
0000001 000010
0001000 000000
0101011 011011
1001000 000000
1111001 000010
0011000 000000
0110001 000010
1101011 001011
0111101 001110
1000000 000000
0010011 000011
0110101 000110
0001110 000101
1010101 000110
0000110 000101
0001001 000010
1000011 000011
1100000 000000
1010000 000000
1011001 000010
1110101 000110
1010101 000110
0110110 000101
1111010 001001
1001011 000011
1000011 000011
0101100 000100
0111001 000010
1011100 000100
1110001 000010
0100100 000100
1001010 000001
1001100 000100
0001101 000110
1001111 000111
1100010 000001
1010001 000010
1110101 000110
1100100 000100
0100011 000011
1101110 001101
0110000 000000
0100001 000010
0100111 000111
0110110 000101
1010110 000101
1000101 000110
1010000 000000
1101000 001000
1111100 000100
1011000 000000
0101001 011010
1010010 000001
0101010 001001
1111011 000011
0100010 000001
0000000 000000
1111000 101000
0101110 001101
1011111 000111
0000101 000110
1001110 000101
1111011 001011
1110010 000001
1010010 000001
0111111 000111
1010000 000000
0011001 000010
1011110 000101
1011001 000010
1101000 000000
0000001 000010
1010011 000011
0000010 000001
0010010 000001
1000111 000111
0100110 000101
1101100 001100
0100101 000110
1001101 000110
0000001 000010
1110101 000110
0010001 000010
0001110 000101
1111101 000110
0001110 000101
1101110 000101
0011101 000110
0001001 000010
0001101 000110
1100100 000100
1011111 000111
1110100 000100
0101100 011100
0110110 000101
1001101 000110
0001100 000100
0010101 000110
1101010 001001
0000111 000111
0010010 000001
0100100 000100
0111000 001000
1100000 000000
1011100 000100
0010011 000011
0100111 000111
0001111 000111
0001000 000000
1000010 000001
0010101 000110
1000001 000010
1010000 000000
0110100 000100
0000011 000011
1010110 000101
1100001 000010
0101000 000000
1101110 001101
1111101 000110
0100110 000101
0111110 101101
0110111 000111
1010110 000101
0010000 000000
1011100 000100
1011011 000011
1101100 011100
0110010 000001
1101011 011011
1100100 000100
1010001 000010
1000101 000110
1101011 011011
0001100 000100
1010011 000011
0001000 000000
0001011 000011
1111011 001011
1111001 001010
1001010 000001
0000111 000111
0001000 000000
0111111 000111
1001111 000111
0001001 000010
1000100 000100
1100010 000001
0010011 000011
1110000 000000
1110011 000011
0111111 000111
1011011 000011
