asrtname,failcount,mutantcnt,mutant
1,81,5,"[1, 2, 5, 6, 7]"
70,98,5,"[1, 2, 5, 6, 7]"
7,86,5,"[1, 2, 5, 6, 7]"
9,80,5,"[1, 2, 5, 6, 7]"
12,70,5,"[1, 11, 7, 8, 9]"
13,75,5,"[1, 10, 11, 7, 9]"
14,52,5,"[10, 11, 7, 8, 9]"
4,77,5,"[1, 2, 4, 5, 6]"
84,87,4,"[16, 18, 19, 20]"
88,89,4,"[16, 18, 19, 20]"
80,85,4,"[1, 11, 7, 8]"
89,61,4,"[16, 17, 18, 20]"
91,92,4,"[16, 17, 18, 20]"
86,57,4,"[16, 18, 19, 20]"
85,82,4,"[16, 18, 19, 20]"
68,99,4,"[1, 4, 5, 6]"
69,84,3,"[1, 5, 6]"
72,105,3,"[1, 5, 6]"
74,76,3,"[10, 11, 7]"
75,77,3,"[10, 11, 7]"
76,55,3,"[10, 11, 7]"
67,87,3,"[1, 5, 6]"
66,72,3,"[1, 5, 6]"
79,65,3,"[11, 7, 9]"
65,102,3,"[1, 5, 6]"
64,99,3,"[1, 5, 6]"
82,76,3,"[11, 7, 9]"
63,78,3,"[1, 5, 6]"
71,75,3,"[1, 5, 6]"
87,48,2,"[16, 20]"
90,34,2,"[16, 20]"
83,38,2,"[16, 20]"
78,64,2,"[11, 7]"
77,58,2,"[11, 7]"
73,52,2,"[11, 7]"
81,50,2,"[11, 7]"
103,33,1,[24]
120,32,1,[23]
119,34,1,[23]
116,29,1,[23]
114,33,1,[23]
112,21,1,[24]
108,35,1,[24]
107,5,1,[24]
105,24,1,[24]
104,34,1,[24]
106,28,1,[24]
102,33,1,[22]
96,35,1,[22]
92,34,1,[22]
93,24,1,[22]
95,25,1,[22]
124,25,1,[23]
99,29,1,[22]
117,0,0,[]
123,0,0,[]
122,0,0,[]
121,0,0,[]
100,0,0,[]
118,0,0,[]
97,0,0,[]
109,0,0,[]
115,0,0,[]
101,0,0,[]
113,0,0,[]
98,0,0,[]
111,0,0,[]
110,0,0,[]
94,0,0,[]
