mutant,failcount,asrtname
1,415,"[1, 4, 7, 9, 12, 13, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 80]"
7,402,"[1, 7, 9, 12, 13, 14, 70, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82]"
6,397,"[1, 4, 7, 9, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72]"
5,397,"[1, 4, 7, 9, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72]"
11,390,"[12, 13, 14, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82]"
20,266,"[83, 84, 85, 86, 87, 88, 89, 90, 91]"
22,180,"[92, 93, 95, 96, 99, 102]"
24,180,"[103, 104, 105, 106, 107, 108, 112]"
23,153,"[114, 116, 119, 120, 124]"
16,134,"[83, 84, 85, 86, 87, 88, 89, 90, 91]"
18,94,"[84, 85, 86, 88, 89, 91]"
19,64,"[84, 85, 86, 88]"
10,30,"[13, 14, 74, 75, 76]"
17,30,"[89, 91]"
9,20,"[12, 13, 14, 79, 82]"
2,15,"[1, 4, 7, 9, 70]"
8,7,"[12, 14, 80]"
4,5,"[4, 68]"
