mutant,failcount,asrtname
21,779,"[7, 10, 12, 16, 17, 38, 39, 41, 49, 53, 59, 60, 61, 78, 79, 82, 83, 84, 85, 95, 101, 120, 128, 130, 131, 132, 140, 142, 143, 147, 160, 162, 172, 182, 183, 186, 187]"
20,706,"[7, 10, 12, 16, 17, 38, 39, 41, 49, 53, 59, 60, 78, 79, 82, 83, 84, 85, 95, 101, 120, 128, 130, 131, 132, 140, 142, 147, 160, 162, 172, 182, 183, 186, 187]"
19,635,"[7, 10, 12, 16, 17, 38, 39, 41, 49, 53, 59, 60, 78, 79, 82, 84, 85, 95, 101, 120, 130, 131, 132, 140, 142, 143, 160, 162, 172, 182, 183, 186, 187]"
3,462,"[10, 12, 61, 98, 187]"
42,261,"[43, 45, 49, 58, 59, 60, 61, 62, 66, 77, 79, 82, 87, 89, 95, 111, 120, 121, 125, 128, 130, 141]"
6,236,[188]
2,219,"[1, 7, 10, 11, 12, 36, 42, 49, 59, 79, 86, 95, 125, 130, 133, 147, 152, 154, 161, 163, 171, 178, 179]"
4,219,"[43, 49, 53, 59, 60, 82]"
15,215,"[43, 59, 82]"
16,155,"[12, 17, 39, 41, 49, 53, 61, 78, 79, 82, 83, 84, 85, 101, 111, 120, 125, 130, 131, 132, 147, 154, 172, 182, 183, 186, 187]"
50,148,"[2, 4, 7, 10, 11, 12, 18, 22, 27, 36, 37, 38, 39, 40, 43, 48, 79, 81, 82, 111, 120, 125, 130]"
79,145,"[49, 53, 59, 60, 68, 78, 79, 82, 83, 84, 85]"
60,85,"[43, 46, 59, 60, 82, 95, 130, 164, 168, 178]"
70,66,"[43, 49, 79, 82, 135, 140, 142, 154]"
14,56,"[43, 79, 82]"
43,53,"[43, 45, 58, 59, 62, 66, 77, 82, 141]"
52,42,"[7, 10, 12, 16, 17, 36, 38, 39, 41]"
23,38,"[7, 10, 38, 39, 61, 82, 85, 105, 111, 120, 130, 132, 147, 154, 162, 182]"
24,38,"[7, 10, 38, 39, 61, 82, 85, 105, 111, 120, 130, 132, 147, 154, 162, 182]"
25,38,"[7, 10, 38, 39, 61, 82, 85, 105, 111, 120, 130, 132, 147, 154, 162, 182]"
35,34,"[43, 44, 60, 75, 79, 141]"
36,32,"[43, 44, 60, 79]"
51,29,"[43, 49, 60, 79, 81, 82, 111, 120, 125, 130]"
27,20,"[7, 59, 60, 111, 120, 125, 130, 141]"
17,18,"[38, 39, 61, 85, 105, 111, 120, 130, 132, 154, 162, 182]"
10,16,"[7, 11, 12, 59, 60, 111, 120, 125, 178]"
12,12,"[7, 11, 12, 36, 38, 39, 82, 142, 160, 182, 183]"
71,11,"[43, 49, 59, 79, 82]"
61,11,"[43, 60, 82, 130]"
34,10,"[85, 130, 132, 162]"
72,10,"[140, 142, 143, 152, 154, 162]"
37,8,"[7, 11, 98, 130, 140, 142]"
45,8,"[7, 36, 59, 140, 142, 152]"
18,7,"[85, 132, 147, 162]"
62,7,"[172, 182, 186]"
38,6,"[59, 60, 125]"
82,4,[12]
13,4,"[10, 12, 142]"
57,3,"[49, 79]"
46,2,"[59, 142]"
11,2,"[10, 171]"
22,2,"[12, 142]"
55,1,[161]
28,1,[59]
65,1,[147]
66,1,[130]
41,1,[10]
76,1,[79]
26,1,[171]
31,1,[10]
83,1,[12]
