asrtname,mutantcnt
82,20
130,18
59,17
79,16
60,14
7,14
10,14
12,14
120,13
43,13
49,12
142,11
39,11
85,11
132,10
111,10
162,10
38,10
182,10
147,9
125,8
61,8
154,8
140,7
53,6
95,6
186,5
17,5
11,5
84,5
78,5
183,5
36,5
172,5
41,5
187,5
160,4
101,4
105,4
83,4
131,4
141,4
16,4
178,3
128,3
171,3
143,3
152,3
77,2
58,2
45,2
44,2
62,2
66,2
161,2
98,2
81,2
89,1
1,1
121,1
133,1
2,1
163,1
164,1
168,1
179,1
135,1
87,1
86,1
48,1
4,1
18,1
22,1
27,1
37,1
40,1
42,1
46,1
188,1
68,1
75,1
67,0
155,0
156,0
157,0
159,0
28,0
71,0
26,0
23,0
93,0
165,0
166,0
167,0
20,0
153,0
19,0
92,0
174,0
176,0
14,0
13,0
180,0
9,0
5,0
184,0
3,0
29,0
30,0
106,0
103,0
107,0
108,0
109,0
65,0
115,0
119,0
63,0
57,0
56,0
51,0
50,0
47,0
151,0
134,0
69,0
136,0
137,0
138,0
97,0
96,0
88,0
33,0
32,0
150,0
34,0
