asrtname,failcount,mutantcnt,mutant
279,44,16,"[10, 19, 20, 21, 27, 28, 35, 36, 38, 4, 42, 50, 51, 60, 61, 79]"
150,22,16,"[19, 2, 20, 21, 35, 36, 42, 43, 50, 51, 57, 60, 70, 71, 76, 79]"
253,34,16,"[11, 12, 13, 16, 17, 19, 2, 20, 21, 23, 24, 25, 3, 31, 41, 52]"
144,37,15,"[10, 12, 14, 16, 2, 20, 21, 27, 42, 43, 50, 51, 60, 61, 79]"
397,26,15,"[16, 2, 20, 21, 22, 27, 37, 38, 39, 45, 65, 70, 82, 83, 84]"
254,28,14,"[12, 13, 16, 17, 19, 2, 20, 21, 22, 23, 24, 25, 50, 52]"
223,34,14,"[10, 12, 16, 17, 18, 2, 20, 21, 23, 24, 25, 37, 38, 50]"
149,32,14,"[16, 19, 2, 20, 21, 36, 42, 43, 45, 51, 57, 70, 71, 79]"
398,30,13,"[12, 16, 19, 2, 20, 21, 22, 26, 38, 47, 5, 70, 84]"
221,66,13,"[11, 13, 16, 19, 2, 20, 21, 22, 27, 45, 50, 60, 61]"
280,27,13,"[10, 19, 2, 20, 21, 27, 35, 36, 38, 4, 42, 50, 79]"
217,32,12,"[10, 2, 27, 37, 38, 45, 5, 50, 60, 61, 65, 76]"
275,38,12,"[14, 16, 19, 2, 20, 21, 23, 24, 25, 70, 71, 79]"
281,23,12,"[19, 20, 21, 27, 3, 4, 42, 43, 50, 60, 71, 79]"
148,59,11,"[14, 15, 16, 19, 2, 20, 3, 4, 45, 55, 79]"
255,15,11,"[12, 13, 18, 2, 22, 23, 24, 25, 55, 60, 62]"
188,29,11,"[16, 2, 20, 21, 22, 37, 38, 40, 5, 55, 70]"
52,47,11,"[10, 11, 14, 15, 16, 2, 21, 27, 4, 51, 79]"
430,133,11,"[19, 22, 34, 35, 42, 50, 60, 61, 62, 63, 64]"
380,15,11,"[13, 14, 15, 16, 19, 20, 21, 4, 50, 51, 79]"
343,20,10,"[10, 2, 27, 38, 40, 45, 50, 60, 61, 65]"
38,10,10,"[18, 19, 2, 21, 23, 24, 25, 39, 55, 72]"
66,33,10,"[10, 15, 2, 35, 36, 4, 42, 43, 50, 51]"
210,16,10,"[12, 16, 2, 20, 21, 23, 24, 25, 39, 60]"
209,12,10,"[16, 17, 2, 20, 21, 23, 24, 25, 37, 60]"
86,10,10,"[17, 2, 23, 24, 25, 27, 37, 42, 50, 51]"
458,301,10,"[19, 22, 34, 35, 42, 50, 60, 70, 80, 81]"
262,12,10,"[10, 12, 16, 19, 2, 20, 21, 22, 60, 83]"
194,18,10,"[16, 2, 20, 21, 27, 43, 61, 65, 70, 83]"
189,36,10,"[13, 2, 22, 38, 39, 40, 46, 5, 56, 70]"
218,16,10,"[12, 16, 2, 20, 21, 37, 39, 40, 5, 50]"
15,10,10,"[10, 12, 21, 23, 24, 25, 27, 37, 52, 82]"
154,16,10,"[14, 18, 20, 21, 23, 24, 25, 50, 51, 79]"
299,23,10,"[11, 19, 2, 20, 21, 37, 55, 56, 70, 83]"
282,69,10,"[10, 14, 16, 19, 20, 21, 4, 42, 43, 79]"
145,15,10,"[10, 14, 16, 2, 20, 21, 42, 50, 51, 79]"
416,150,9,"[19, 22, 34, 35, 42, 50, 51, 53, 54]"
243,15,9,"[10, 19, 20, 21, 27, 38, 42, 50, 51]"
28,10,9,"[16, 18, 2, 23, 24, 25, 34, 60, 62]"
122,12,9,"[13, 19, 2, 20, 21, 22, 60, 62, 83]"
251,9,9,"[10, 19, 20, 21, 27, 52, 60, 61, 65]"
354,16,9,"[10, 12, 13, 16, 2, 20, 22, 60, 84]"
146,13,9,"[10, 14, 16, 27, 42, 50, 70, 71, 79]"
127,14,9,"[17, 2, 23, 24, 25, 34, 70, 72, 84]"
16,9,9,"[17, 20, 21, 23, 24, 25, 38, 45, 52]"
317,14,9,"[10, 3, 37, 38, 39, 40, 50, 75, 76]"
264,13,9,"[10, 16, 17, 2, 23, 24, 25, 70, 72]"
263,13,9,"[10, 12, 16, 17, 2, 23, 24, 25, 62]"
196,13,8,"[12, 2, 23, 24, 25, 39, 56, 70]"
92,10,8,"[12, 19, 2, 20, 21, 39, 50, 61]"
579,15,8,"[10, 12, 2, 37, 39, 60, 65, 82]"
191,25,8,"[16, 19, 2, 20, 21, 27, 39, 70]"
1,11,8,"[10, 18, 19, 2, 23, 24, 25, 42]"
222,23,8,"[2, 22, 37, 38, 45, 50, 60, 82]"
244,9,8,"[10, 19, 20, 21, 27, 42, 60, 61]"
268,8,8,"[19, 20, 21, 37, 45, 46, 70, 72]"
261,7,7,"[19, 2, 20, 21, 39, 60, 62]"
402,171,7,"[19, 22, 34, 35, 42, 43, 44]"
128,7,7,"[12, 23, 24, 25, 46, 47, 72]"
116,10,7,"[12, 16, 2, 37, 38, 55, 62]"
190,32,7,"[19, 2, 20, 27, 3, 70, 83]"
93,9,7,"[18, 20, 21, 23, 24, 25, 42]"
582,7,7,"[16, 23, 24, 25, 34, 72, 77]"
205,27,7,"[19, 2, 20, 3, 37, 39, 60]"
206,10,7,"[10, 11, 19, 2, 20, 21, 27]"
30,8,6,"[10, 12, 16, 2, 20, 22]"
580,10,6,"[2, 20, 21, 39, 55, 60]"
53,9,6,"[15, 2, 35, 36, 4, 42]"
22,14,6,"[2, 37, 38, 45, 50, 82]"
337,6,6,"[16, 19, 2, 20, 21, 52]"
44,6,6,"[10, 12, 2, 20, 22, 70]"
429,105,6,"[17, 18, 23, 24, 25, 52]"
87,7,6,"[2, 27, 42, 60, 61, 66]"
270,7,6,"[2, 37, 38, 39, 65, 72]"
61,28,6,"[16, 19, 2, 20, 21, 79]"
105,18,6,"[13, 19, 2, 20, 21, 52]"
265,12,6,"[18, 2, 23, 24, 25, 46]"
102,7,6,"[10, 2, 27, 50, 60, 61]"
469,183,6,"[17, 18, 23, 24, 25, 79]"
465,337,5,"[14, 15, 35, 36, 4]"
247,20,5,"[16, 19, 20, 21, 52]"
136,10,5,"[16, 2, 20, 21, 65]"
492,375,5,"[14, 15, 35, 36, 4]"
147,10,5,"[16, 2, 20, 21, 79]"
276,77,5,"[19, 20, 21, 4, 79]"
151,12,5,"[19, 2, 42, 60, 79]"
269,7,5,"[11, 20, 37, 55, 83]"
204,9,5,"[2, 39, 45, 60, 76]"
414,145,5,"[17, 18, 23, 24, 25]"
20,6,5,"[19, 2, 20, 21, 52]"
88,5,5,"[2, 23, 24, 25, 34]"
89,16,5,"[12, 14, 2, 20, 3]"
58,25,5,"[16, 19, 20, 21, 79]"
90,23,5,"[19, 2, 20, 21, 42]"
50,10,5,"[2, 38, 45, 65, 70]"
37,7,5,"[19, 2, 20, 21, 62]"
33,9,5,"[16, 19, 20, 21, 62]"
31,9,5,"[2, 37, 60, 82, 83]"
24,8,5,"[13, 19, 20, 21, 52]"
18,14,5,"[16, 19, 20, 21, 52]"
120,6,5,"[10, 19, 2, 20, 21]"
121,9,5,"[2, 46, 55, 60, 62]"
9,15,5,"[16, 19, 2, 20, 21]"
125,9,5,"[18, 23, 24, 25, 62]"
8,10,5,"[16, 19, 2, 20, 21]"
6,15,5,"[16, 19, 2, 20, 21]"
59,9,5,"[16, 19, 20, 21, 79]"
240,10,4,"[16, 19, 20, 21]"
2,4,4,"[10, 27, 50, 51]"
252,4,4,"[39, 40, 50, 76]"
400,6,4,"[2, 38, 45, 60]"
246,5,4,"[16, 2, 50, 52]"
132,9,4,"[2, 20, 3, 83]"
153,15,4,"[14, 20, 21, 42]"
78,17,4,"[10, 2, 40, 70]"
80,22,4,"[2, 37, 38, 60]"
104,7,4,"[19, 20, 3, 52]"
607,777,3,"[27, 35, 36]"
138,3,3,"[23, 24, 25]"
273,3,3,"[19, 21, 72]"
108,3,3,"[20, 21, 50]"
10,6,3,"[19, 20, 21]"
391,3,3,"[2, 37, 70]"
390,3,3,"[2, 39, 70]"
14,4,3,"[2, 37, 50]"
548,67,3,"[35, 42, 43]"
544,80,3,"[35, 42, 43]"
109,6,3,"[23, 24, 25]"
