mutant,failcount,asrtname
35,1772,"[53, 66, 150, 279, 280, 402, 416, 430, 458, 465, 487, 492, 544, 548, 593, 594, 595, 598, 606, 607, 608, 609, 610, 611]"
36,1637,"[53, 66, 149, 150, 279, 280, 465, 487, 492, 593, 594, 595, 598, 606, 607, 608, 609, 610, 611]"
42,770,"[1, 3, 53, 66, 86, 87, 90, 93, 95, 144, 145, 146, 149, 150, 151, 153, 243, 244, 279, 280, 281, 282, 402, 410, 411, 412, 416, 430, 458, 466, 489, 494, 498, 544, 548, 551, 553, 554, 555]"
50,626,"[2, 14, 22, 66, 86, 92, 102, 108, 144, 145, 146, 150, 154, 217, 218, 221, 222, 223, 243, 246, 252, 254, 279, 280, 281, 317, 343, 380, 416, 424, 426, 430, 458, 467, 490, 495, 499, 532, 534, 535, 537, 539, 540]"
60,457,"[28, 31, 80, 87, 102, 121, 122, 144, 150, 151, 204, 205, 209, 210, 217, 221, 222, 244, 251, 255, 261, 262, 279, 281, 343, 354, 400, 430, 438, 458, 468, 491, 496, 518, 521, 523, 526, 579, 580]"
70,367,"[43, 44, 50, 72, 73, 76, 78, 127, 137, 146, 149, 150, 188, 189, 190, 191, 194, 196, 264, 268, 275, 299, 390, 391, 393, 394, 395, 397, 398, 451, 458, 503, 508, 511]"
27,362,"[2, 15, 52, 86, 87, 102, 144, 146, 190, 191, 194, 206, 217, 221, 243, 244, 251, 279, 280, 281, 343, 397, 487, 490, 502, 517, 531, 550, 606, 607, 608, 609, 610, 611, 614, 615, 616, 618, 621, 622, 625, 626, 629, 630, 632, 633, 634, 636, 637, 638]"
4,351,"[52, 53, 66, 148, 276, 279, 280, 281, 282, 380, 465, 492]"
2,344,"[1, 3, 6, 8, 9, 14, 19, 20, 21, 22, 23, 27, 28, 30, 31, 32, 36, 37, 38, 44, 46, 50, 52, 53, 61, 66, 70, 73, 76, 78, 80, 86, 87, 88, 89, 90, 92, 102, 103, 105, 116, 118, 120, 121, 122, 127, 129, 131, 132, 133, 136, 144, 145, 147, 148, 149, 150, 151, 188, 189, 190, 191, 194, 196, 204, 205, 206, 209, 210, 217, 218, 221, 222, 223, 246, 253, 254, 255, 261, 262, 263, 264, 265, 270, 275, 280, 299, 337, 343, 347, 351, 354, 368, 390, 391, 393, 394, 397, 398, 400, 572, 579, 580]"
15,317,"[52, 53, 66, 148, 380, 465, 492]"
19,277,"[1, 6, 7, 8, 9, 10, 18, 20, 24, 33, 37, 38, 58, 59, 61, 90, 92, 104, 105, 120, 122, 148, 149, 150, 151, 190, 191, 205, 206, 221, 240, 243, 244, 247, 251, 253, 254, 261, 262, 268, 273, 275, 276, 279, 280, 281, 282, 299, 337, 380, 398, 402, 416, 430, 458]"
79,236,"[52, 58, 59, 61, 144, 145, 146, 147, 148, 149, 150, 151, 154, 275, 276, 279, 280, 281, 282, 373, 374, 376, 379, 380, 381, 382, 460, 469]"
20,177,"[6, 7, 8, 9, 10, 16, 18, 20, 24, 30, 33, 37, 44, 58, 59, 61, 89, 90, 92, 93, 104, 105, 108, 119, 120, 122, 123, 132, 136, 144, 145, 147, 148, 149, 150, 153, 154, 188, 190, 191, 194, 205, 206, 209, 210, 218, 221, 223, 240, 243, 244, 247, 251, 253, 254, 261, 262, 268, 269, 275, 276, 279, 280, 281, 282, 299, 337, 354, 380, 397, 398, 580]"
21,174,"[6, 7, 8, 9, 10, 15, 16, 18, 20, 24, 33, 37, 38, 39, 52, 58, 59, 61, 90, 92, 93, 105, 108, 120, 122, 123, 136, 144, 145, 147, 149, 150, 153, 154, 188, 191, 194, 206, 209, 210, 218, 221, 223, 240, 243, 244, 247, 251, 253, 254, 256, 261, 262, 266, 268, 273, 275, 276, 279, 280, 281, 282, 299, 337, 380, 397, 398, 580]"
43,171,"[66, 144, 149, 150, 194, 281, 282, 402, 466, 489, 494, 498, 544, 548]"
23,130,"[1, 15, 16, 28, 38, 86, 88, 93, 109, 125, 127, 128, 138, 154, 196, 209, 210, 223, 253, 254, 255, 263, 264, 265, 275, 414, 429, 469, 582]"
24,130,"[1, 15, 16, 28, 38, 86, 88, 93, 109, 125, 127, 128, 138, 154, 196, 209, 210, 223, 253, 254, 255, 263, 264, 265, 275, 414, 429, 469, 582]"
25,130,"[1, 15, 16, 28, 38, 86, 88, 93, 109, 125, 127, 128, 138, 154, 196, 209, 210, 223, 253, 254, 255, 263, 264, 265, 275, 414, 429, 469, 582]"
51,116,"[2, 52, 66, 86, 144, 145, 149, 150, 154, 243, 279, 380, 416, 467, 490, 495, 499]"
52,90,"[15, 16, 18, 20, 24, 104, 105, 246, 247, 251, 253, 254, 332, 335, 337, 338, 339, 342, 420, 429]"
14,85,"[52, 89, 144, 145, 146, 148, 153, 154, 275, 282, 380, 465, 492]"
34,63,"[28, 88, 127, 402, 405, 416, 430, 435, 449, 458, 460, 582]"
22,60,"[25, 30, 44, 122, 188, 189, 221, 222, 254, 255, 262, 272, 354, 397, 398, 402, 416, 430, 458]"
17,56,"[16, 86, 127, 209, 223, 253, 254, 263, 264, 414, 429, 469]"
61,55,"[87, 92, 102, 144, 194, 217, 221, 244, 251, 279, 343, 430, 468, 491, 496]"
3,54,"[89, 104, 119, 132, 148, 190, 205, 253, 281, 317]"
16,54,"[6, 8, 9, 18, 28, 30, 33, 52, 58, 59, 61, 116, 136, 144, 145, 146, 147, 148, 149, 188, 191, 194, 209, 210, 218, 221, 223, 240, 246, 247, 253, 254, 262, 263, 264, 275, 282, 337, 354, 380, 397, 398, 582]"
62,45,"[27, 28, 33, 37, 116, 121, 122, 125, 255, 261, 263, 349, 352, 353, 356, 357, 430, 435]"
10,43,"[1, 2, 15, 30, 44, 52, 66, 78, 102, 120, 144, 145, 146, 206, 217, 223, 243, 244, 251, 262, 263, 264, 279, 280, 282, 317, 343, 354, 579]"
18,40,"[1, 28, 38, 93, 125, 154, 223, 255, 265, 414, 429, 469]"
37,38,"[14, 15, 22, 31, 80, 86, 116, 188, 205, 209, 217, 218, 222, 223, 268, 269, 270, 299, 317, 391, 395, 397, 572, 579]"
80,35,[458]
81,35,[458]
44,31,[402]
38,28,"[16, 22, 50, 80, 116, 188, 189, 217, 222, 223, 243, 270, 279, 280, 317, 343, 347, 397, 398, 400]"
12,24,"[15, 29, 30, 44, 89, 92, 116, 124, 128, 144, 196, 210, 218, 223, 253, 254, 255, 262, 263, 272, 354, 398, 579]"
72,20,"[38, 39, 40, 127, 128, 264, 266, 268, 270, 273, 363, 449, 582]"
55,18,"[38, 41, 70, 116, 121, 129, 148, 188, 255, 269, 299, 355, 580]"
39,18,"[38, 92, 189, 191, 196, 204, 205, 210, 218, 252, 261, 270, 317, 355, 390, 397, 579, 580]"
54,16,[416]
53,16,[416]
45,16,"[16, 22, 50, 148, 149, 204, 217, 221, 222, 268, 343, 347, 397, 400]"
13,12,"[24, 105, 122, 189, 221, 253, 254, 255, 272, 354, 380]"
64,11,[430]
65,11,"[40, 50, 136, 194, 217, 251, 270, 343, 397, 579]"
63,11,[430]
40,10,"[78, 131, 188, 189, 218, 252, 317, 343]"
82,10,"[3, 15, 22, 31, 222, 395, 397, 579]"
83,9,"[31, 122, 132, 190, 194, 262, 269, 299, 397]"
11,8,"[52, 206, 221, 253, 269, 299]"
5,7,"[188, 189, 217, 218, 398]"
71,6,"[146, 149, 150, 275, 281]"
76,5,"[150, 204, 217, 252, 317]"
84,5,"[127, 354, 397, 398]"
46,5,"[121, 128, 189, 265, 268]"
56,4,"[70, 189, 196, 299]"
57,2,"[149, 150]"
47,2,"[128, 398]"
66,1,[87]
75,1,[317]
77,1,[582]
41,1,[253]
31,1,[253]
28,1,[279]
26,1,[398]
