asrtname,mutantcnt
279,16
150,16
253,16
144,15
397,15
254,14
223,14
149,14
398,13
221,13
280,13
217,12
275,12
281,12
148,11
255,11
188,11
52,11
430,11
380,11
343,10
38,10
66,10
210,10
209,10
86,10
458,10
262,10
194,10
189,10
218,10
15,10
154,10
299,10
282,10
145,10
416,9
243,9
28,9
122,9
251,9
354,9
146,9
127,9
16,9
317,9
264,9
263,9
196,8
92,8
579,8
191,8
1,8
222,8
244,8
268,8
261,7
402,7
128,7
116,7
190,7
93,7
582,7
205,7
206,7
30,6
580,6
53,6
22,6
337,6
44,6
429,6
87,6
270,6
61,6
105,6
265,6
102,6
469,6
465,5
247,5
136,5
492,5
147,5
276,5
151,5
269,5
204,5
414,5
20,5
88,5
89,5
58,5
90,5
50,5
37,5
33,5
31,5
24,5
18,5
120,5
121,5
9,5
125,5
8,5
6,5
59,5
240,4
2,4
252,4
400,4
246,4
132,4
153,4
78,4
80,4
104,4
607,3
138,3
273,3
108,3
10,3
391,3
390,3
14,3
548,3
544,3
109,3
347,3
487,3
490,3
272,3
395,3
3,3
606,3
7,3
611,3
608,3
70,3
610,3
609,3
467,2
460,2
119,2
594,2
73,2
466,2
266,2
468,2
489,2
491,2
355,2
499,2
498,2
496,2
76,2
495,2
593,2
449,2
40,2
598,2
435,2
572,2
393,2
394,2
494,2
27,2
39,2
131,2
129,2
123,2
595,2
451,1
636,1
426,1
424,1
420,1
438,1
637,1
523,1
634,1
625,1
554,1
555,1
632,1
630,1
629,1
626,1
622,1
502,1
621,1
618,1
616,1
615,1
614,1
412,1
553,1
551,1
540,1
539,1
537,1
535,1
534,1
532,1
531,1
526,1
633,1
521,1
518,1
517,1
511,1
508,1
503,1
550,1
638,1
411,1
382,1
95,1
103,1
118,1
124,1
381,1
379,1
133,1
335,1
376,1
374,1
373,1
368,1
256,1
363,1
357,1
356,1
353,1
352,1
351,1
349,1
342,1
332,1
339,1
72,1
137,1
338,1
29,1
405,1
43,1
25,1
36,1
21,1
41,1
46,1
32,1
19,1
410,1
23,1
561,0
631,0
562,0
564,0
560,0
559,0
558,0
34,0
557,0
566,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
12,0
334,0
536,0
565,0
60,0
567,0
585,0
74,0
49,0
613,0
597,0
596,0
107,0
48,0
47,0
588,0
617,0
587,0
586,0
584,0
568,0
583,0
139,0
578,0
577,0
576,0
575,0
623,0
574,0
573,0
624,0
35,0
51,0
569,0
519,0
336,0
453,0
434,0
403,0
436,0
437,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
450,0
433,0
432,0
431,0
421,0
415,0
409,0
417,0
418,0
419,0
408,0
422,0
404,0
423,0
407,0
425,0
406,0
427,0
428,0
452,0
454,0
527,0
455,0
359,0
504,0
505,0
507,0
509,0
510,0
350,0
512,0
513,0
348,0
413,0
346,0
522,0
524,0
341,0
361,0
362,0
364,0
463,0
456,0
457,0
378,0
459,0
461,0
462,0
464,0
365,0
370,0
369,0
470,0
471,0
367,0
366,0
375,0
