rst,empty,[8bits]DUT_LBDR.Rxy,[4bits]DUT_LBDR.Cx,[3bits]flit_id,[4bits]dst_addr,[4bits]DUT_LBDR.cur_addr,DUT_LBDR.Rne,DUT_LBDR.Rnw,DUT_LBDR.Ren,DUT_LBDR.Res,DUT_LBDR.Rwn,DUT_LBDR.Rws,DUT_LBDR.Rse,DUT_LBDR.Rsw,DUT_LBDR.Cn,DUT_LBDR.Ce,DUT_LBDR.Cw,DUT_LBDR.Cs,DUT_LBDR.N1,DUT_LBDR.E1,DUT_LBDR.W1,DUT_LBDR.S1,[2bits]DUT_LBDR.x_cur,[2bits]DUT_LBDR.y_cur,[2bits]DUT_LBDR.x_dst,[2bits]DUT_LBDR.y_dst Nport,Eport,Wport,Sport,Lport
1000111100111100100000101001111001111101001010000 xxxxx
1100111100111101000000000001111001111000000000000 00000
1100111100111101000000010001111001111001010000000 00000
0011000011111100100000111110000111111101011010000 00000
0011000011111101000000111110000111111101011010000 10000
0111000011111101000000111110000111111101011010000 10000
0011000011111100100110111110000111111100011011100 00000
1011000011111101000110111110000111111100011011100 10000
0100111100111101000110000001111001111010000001100 00000
0100111100111100100110000001111001111010000001100 00000
1100111100111100100110000001111001111010000001100 00000
1011000011111101000110101110000111111110001011100 00000
1011000011111101000111101110000111111110001111100 00000
1011000011111101000111000110000111111110000101100 00000
1111000011111100100110101110000111111110001011100 00000
1111000011111101000110110110000111111110010011100 00000
1100111100111100100111010001111001111110010101100 00000
1111000011111100100111010110000111111110010101100 00000
0011000011111101000110101110000111111110001011100 00000
0011000011111100101110101110000111111010001011101 00000
1011000011111101001110101110000111111010001011101 01000
0100111100111101001111000001111001111110000101101 00000
0100111100111100101111000001111001111110000101101 00000
1000111100111101001111000001111001111110000101101 00000
1111000011111101001110100110000111111010000011101 00000
0111000011111101001110110110000111111010010011101 00000
0111000011111100101110110110000111111010010011101 00000
0111000011111100101110110110000111111010010011101 00000
0111000011111100101110110110000111111010010011101 00000
1011000011111100101110110110000111111010010011101 00000
0100111100111101001111010001111001111110010101101 00000
0000111100111100100111010001111001111110010101100 00000
1100111100111100100111010001111001111110010101100 01000
0000111100111101000111101001111001111110001111100 00000
1000111100111101000111101001111001111110001111100 00000
1011000011111101000110101110000111111110001011100 00000
0011000011111100100110001110000111111010001001100 00000
1111000011111101000110001110000111111010001001100 01000
0011000011111100110001001110000111111001001100010 00000
0011000011111100110011001110000111111000001100110 00100
1011000011111101010011001110000111111000001100110 00001
0100111100111100110011111001111001111101011110110 00000
0100111100111101010011111001111001111101011110110 00000
1100111100111100110011111001111001111101011110110 00000
0111000011111101010011011110000111111001011100110 00000
0111000011111101010011011110000111111001011100110 00000
1011000011111100110011011110000111111001011100110 00000
1000111100111100110011110001111001111101010110110 00000
1111000011111100110011101110000111111100001110110 00000
1100111100111101010010000001111001111010100000110 00000
0011000011111101010010111110000111111001111010110 00000
1111000011111100110010111110000111111001111010110 00000
1000111100111101010010110001111001111001110010110 00000
0000111100111100110011111001111001111101011110110 00000
0000111100111100100001111001111001111101011110000 00100
0100111100111100100001111001111001111101011110000 00100
1100111100111101000001111001111001111101011110000 00000
1100111100111101000000100001111001111100000010000 00000
0100111100111101000000000001111001111000000000000 00000
0000111100111100100000000001111001111000000000000 00000
1000111100111100100000000001111001111000000000000 00001
0111000011111100100001001110000111111101001100000 00000
0011000011111100111101001110000111111010101101011 00000
0111000011111100111101001110000111111010101101011 00010
0111000011111100111101001110000111111010101101011 00000
0011000011111100101001001110000111111101001100001 00000
1111000011111100101001001110000111111101001100001 10000
1111000011111100101000111110000111111001011010001 00000
0011000011111100110100001110000111111010101001010 00000
1011000011111101010100001110000111111010101001010 00010
0111000011111101010101100110000111111110000111010 00000
1011000011111100110101100110000111111110000111010 00000
0111000011111101010100111110000111111001111011010 00000
1111000011111100110100111110000111111001111011010 00000
0100111100111100110101100001111001111110000111010 00000
0100111100111101010101100001111001111110000111010 00000
0000111100111101010101100001111001111110000111010 00000
0100111100111101010101100001111001111110000111010 00000
1100111100111101010101100001111001111110000111010 00000
1111000011111101010100001110000111111010101001010 00000
0111000011111100110100100110000111111010100011010 00000
1011000011111100110100100110000111111010100011010 00000
1100111100111101010101111001111001111101011111010 00000
1111000011111100110101010110000111111000010101010 00000
0100111100111100110101100001111001111110000111010 00000
1000111100111101010101100001111001111110000111010 00000
0111000011111101010101011110000111111001011101010 00000
0111000011111101010101011110000111111001011101010 00000
1011000011111101010101011110000111111001011101010 00000
1100111100111101010101001001111001111010001101010 00000
0011000011111101010101000110000111111010000101010 00000
0111000011111101010101000110000111111010000101010 00000
0111000011111101010101000110000111111010000101010 00000
0111000011111101010101000110000111111010000101010 00000
1111000011111101010101000110000111111010000101010 00000
1000111100111100110100010001111001111000110001010 00000
0111000011111101010101000110000111111010000101010 00000
1111000011111101010101000110000111111010000101010 00000
0011000011111100110010011110000111111001111000110 00000
0011000011111100101010011110000111111001111000101 00010
0111000011111100101010011110000111111001111000101 00010
0011000011111100101010011110000111111001111000101 00000
1011000011111100101010011110000111111001111000101 00010
0000111100111101001010001001111001111000101000101 00000
1100111100111101001010001001111001111000101000101 00000
0100111100111100101011100001111001111110000110101 00000
0000111100111100101011100001111001111110000110101 00000
1000111100111100101011100001111001111110000110101 01000
0011000011111100110001010110000111111001010100010 00000
0011000011111100100001010110000111111101010100000 00100
1011000011111101000001010110000111111101010100000 10000
1111000011111101000000110110000111111101010010000 00000
1000111100111100100001100001111001111100000110000 00000
0111000011111101000000011110000111111001011000000 00000
0011000011111101000000011110000111111001011000000 00000
0111000011111100100000011110000111111001011000000 00000
0111000011111101000000011110000111111001011000000 00000
0011000011111101000000011110000111111001011000000 00000
0111000011111101000000011110000111111001011000000 00000
0111000011111100100000011110000111111001011000000 00000
1011000011111101000000011110000111111001011000000 00000
1000111100111101000001101001111001111101001110000 00000
1000111100111100100000100001111001111100000010000 00000
0000111100111100100101000001111001111110000101000 00000
0100111100111101000101000001111001111110000101000 01000
1000111100111100100101000001111001111110000101000 00000
0100111100111100100101011001111001111101011101000 00000
0100111100111101000101011001111001111101011101000 00000
1100111100111100100101011001111001111101011101000 00000
1011000011111101000100010110000111111000010001000 00000
1011000011111101000100011110000111111001011001000 00000
0000111100111100110000000001111001111000100000010 00000
1000111100111100110000000001111001111000100000010 00010
1111000011111101010000100110000111111000100010010 00000
