rst,empty,[8bits]Rxy_rst,[4bits]Cx_rst,[3bits]flit_id,[4bits]dst_addr,[4bits]cur_addr_rst Nport,Eport,Wport,Sport,Lport
1000111100111100100000000 xxxxx
0000111100111101000000000 00000
1100111100111100100001111 00000
0100111100111101000001111 00000
0000111100111101000001111 00000
0100111100111100100001111 00000
1100111100111101000001111 00000
1000111100111101000000011 00000
1011000011111100100001111 00000
1100111100111101000001110 00000
0100111100111101000001110 00000
1000111100111101000001111 00000
0100111100111101000001111 00000
0000111100111100100001111 00000
0000111100111101000001111 00100
0100111100111100100001111 00100
0100111100111100100001111 00000
1111000011111100100001010 00000
1011000011111100100000101 00000
0011000011111100101100101 00000
1011000011111100101101000 01000
0011000011111100101001000 00000
1000111100111100101001100 10000
1011000011111101001000000 00000
1111000011111101001001001 00000
0011000011111100101101001 00000
0111000011111100101101001 10000
1100111100111101001101001 00000
1100111100111100101100000 00000
1000111100111100101101001 00000
0000111100111100111111001 00000
1111000011111101011111010 01000
0111000011111101011111010 00000
0111000011111101011111010 00000
0011000011111101011111010 00000
0111000011111101011111010 00000
0011000011111101011111010 00000
1111000011111100111111101 00000
1011000011111101011111010 00000
1011000011111101011110100 00000
1000111100111101011111100 00000
1100111100111100111111111 00000
0100111100111100111111111 00000
0100111100111100111111111 00000
1000111100111101011111000 00000
0000111100111101011111000 00000
1100111100111101011111110 00000
0100111100111101011111110 00000
1111000011111101011110100 00000
0011000011111100110100100 00000
0011000011111100101110100 00010
1011000011111101001111010 01000
1011000011111100101111111 00000
0011000011111100101101111 00000
0111000011111101001101111 10000
1111000011111101001101110 00000
1111000011111100101100111 00000
0011000011111100110100111 00000
0111000011111101010100111 00010
0111000011111101010100111 00000
1011000011111100110100101 00000
0111000011111101010100101 00000
1011000011111101010101010 00000
1011000011111101010101111 00000
0111000011111100110101111 00000
1000111100111101010100111 00000
0100111100111101010100111 00000
0000111100111100110010111 00000
1111000011111100110011101 00100
1011000011111101010011111 00000
1011000011111100110011100 00000
1111000011111100110010110 00000
1011000011111101010010000 00000
0011000011111100101010000 00000
1111000011111101001011111 00010
1000111100111100101010111 00000
1111000011111101001011100 00000
1100111100111100101011011 00000
0000111100111101001011011 00000
1011000011111100101011000 00000
1011000011111100101010101 00000
0111000011111100101010101 00000
1011000011111100101010010 00000
0011000011111101001010010 00000
0111000011111101001010010 00000
1100111100111100101010001 00000
1111000011111100101010010 00000
0011000011111100110110010 00000
0011000011111100110010010 00010
0111000011111101010010010 00010
0111000011111100110010010 00000
1111000011111100110011101 00000
1111000011111100110011110 00000
0011000011111100111111110 00000
1000111100111100111110011 01000
0100111100111101011110011 00000
0000111100111100101000011 00000
1011000011111101001001011 00100
0111000011111100101001011 00000
0011000011111101001001011 00000
1011000011111101001000111 00000
1011000011111101001001100 00000
1000111100111101001000101 00000
1111000011111100101001100 00000
0011000011111101001001100 00000
0011000011111100100011100 00000
1100111100111101000011110 10000
1111000011111100100010001 00000
0111000011111101000010001 00000
0111000011111100100010001 00000
0011000011111100111000001 00000
