asrtname,failcount,mutantcnt,mutant
498,6839,16,"[11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 25, 28, 5, 6, 7, 8]"
666,7078,16,"[11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 25, 28, 5, 6, 7, 8]"
793,4203,16,"[11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 25, 28, 5, 6, 7, 8]"
521,6683,16,"[11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 25, 28, 5, 6, 7, 8]"
513,3605,16,"[11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 25, 28, 5, 6, 7, 8]"
509,22448,16,"[11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 25, 28, 5, 6, 7, 8]"
494,6795,16,"[11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 25, 28, 5, 6, 7, 8]"
614,7422,16,"[11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 25, 28, 5, 6, 7, 8]"
604,8586,16,"[11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 25, 28, 5, 6, 7, 8]"
824,7316,14,"[11, 12, 13, 14, 16, 19, 20, 21, 24, 30, 5, 6, 7, 8]"
781,5468,14,"[11, 12, 13, 14, 16, 19, 20, 21, 24, 30, 5, 6, 7, 8]"
595,2063,14,"[11, 12, 13, 14, 16, 19, 20, 21, 24, 30, 5, 6, 7, 8]"
562,6521,14,"[11, 12, 13, 14, 16, 19, 20, 21, 24, 30, 5, 6, 7, 8]"
542,3655,14,"[11, 12, 13, 14, 16, 19, 20, 21, 24, 30, 5, 6, 7, 8]"
817,12784,14,"[11, 12, 13, 14, 16, 19, 20, 21, 24, 30, 5, 6, 7, 8]"
806,2495,14,"[11, 12, 13, 14, 16, 19, 20, 21, 24, 3, 30, 6, 7, 8]"
632,5591,14,"[11, 12, 13, 14, 17, 19, 20, 21, 22, 28, 5, 6, 7, 8]"
636,1262,14,"[11, 12, 13, 14, 16, 19, 20, 21, 24, 30, 5, 6, 7, 8]"
558,6521,14,"[11, 12, 13, 14, 16, 19, 20, 21, 24, 30, 5, 6, 7, 8]"
780,2172,14,"[11, 12, 13, 14, 16, 19, 20, 21, 24, 30, 5, 6, 7, 8]"
1271,6463,14,"[10, 3, 5, 51, 52, 54, 55, 57, 58, 59, 6, 60, 63, 66]"
1216,3813,14,"[10, 3, 5, 51, 52, 54, 55, 57, 58, 59, 6, 60, 63, 66]"
326,7749,14,"[2, 32, 33, 35, 36, 38, 39, 40, 41, 44, 47, 5, 6, 9]"
502,6397,14,"[11, 12, 13, 14, 16, 19, 20, 21, 24, 30, 5, 6, 7, 8]"
526,1161,14,"[11, 12, 13, 14, 16, 19, 20, 21, 24, 3, 30, 6, 7, 8]"
625,2202,13,"[11, 13, 14, 16, 17, 19, 21, 23, 27, 5, 6, 7, 8]"
