mutant,failcount,asrtname
7,216227,"[385, 387, 388, 389, 390, 391, 394, 395, 398, 399, 400, 402, 403, 404, 406, 407, 408, 409, 412, 414, 415, 418, 419, 422, 424, 425, 426, 427, 428, 429, 430, 431, 432, 433, 434, 435, 439, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451, 452, 454, 455, 457, 458, 459, 460, 461, 463, 465, 466, 467, 468, 469, 470, 471, 472, 473, 474, 475, 477, 478, 479, 480, 481, 482, 483, 484, 485, 486, 487, 488, 494, 498, 502, 509, 513, 519, 521, 526, 531, 534, 542, 553, 555, 558, 562, 563, 564, 595, 601, 604, 610, 611, 614, 615, 618, 624, 625, 626, 627, 632, 636, 666, 726, 737, 779, 780, 781, 782, 786, 793, 806, 817, 818, 822, 823, 824, 826, 831, 834, 837, 846, 850, 851]"
10,137006,"[1165, 1166, 1169, 1174, 1203, 1204, 1205, 1209, 1211, 1216, 1217, 1218, 1232, 1239, 1243, 1255, 1265, 1271, 1275, 1403, 1448, 1449, 1450, 1452, 1458, 1463, 1478, 1481, 1482, 1486, 1487, 1491, 1492, 1497, 1500, 1501, 1503, 1504, 1506, 1521, 1535, 1537, 1538]"
12,132709,"[385, 387, 388, 389, 390, 391, 394, 395, 398, 399, 400, 402, 403, 404, 406, 407, 408, 409, 412, 414, 415, 418, 419, 422, 424, 425, 426, 427, 428, 429, 430, 431, 432, 433, 434, 435, 439, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451, 452, 454, 455, 457, 458, 459, 460, 461, 463, 465, 466, 467, 468, 469, 470, 471, 472, 473, 474, 475, 477, 478, 479, 480, 481, 482, 483, 484, 485, 486, 487, 488, 494, 498, 502, 509, 513, 521, 526, 542, 558, 562, 595, 604, 614, 618, 632, 636, 666, 726, 779, 780, 781, 782, 793, 806, 817, 824, 834, 837]"
11,116282,"[494, 498, 502, 509, 513, 521, 526, 534, 542, 553, 555, 558, 562, 563, 564, 595, 604, 614, 618, 625, 632, 636, 666, 726, 780, 781, 793, 806, 817, 822, 823, 824, 826, 831, 846, 851, 859, 872, 902, 907, 908, 909, 919, 921, 946, 965, 969, 979, 998, 1006, 1018, 1041, 1091, 1093, 1095, 1096, 1099, 1113, 1122, 1124, 1125, 1128, 1132, 1134, 1136, 1145, 1149, 1152, 1155, 1157]"
8,108255,"[494, 498, 502, 509, 513, 519, 521, 526, 531, 534, 542, 553, 555, 558, 562, 563, 564, 595, 601, 604, 610, 611, 614, 615, 618, 624, 625, 626, 627, 632, 636, 666, 726, 737, 779, 780, 781, 782, 786, 793, 806, 817, 818, 822, 823, 824, 826, 831, 834, 837, 846, 850, 851]"
9,98832,"[1, 3, 12, 14, 16, 18, 20, 28, 41, 50, 58, 71, 87, 88, 89, 91, 92, 96, 97, 98, 99, 106, 123, 145, 146, 148, 152, 155, 163, 187, 202, 212, 229, 244, 259, 315, 317, 321, 326, 349, 358, 366, 377, 379]"
59,39602,"[1165, 1166, 1169, 1174, 1203, 1204, 1205, 1209, 1211, 1216, 1217, 1218, 1232, 1239, 1243, 1255, 1265, 1271, 1275, 1448, 1449, 1450, 1452, 1458, 1463, 1478, 1481, 1482, 1486, 1487, 1491, 1492, 1497, 1500, 1501, 1503, 1504, 1506, 1521, 1535, 1537, 1538]"
78,30381,"[859, 872, 902, 907, 908, 909, 919, 921, 946, 965, 969, 979, 998, 1006, 1018, 1091, 1093, 1095, 1096, 1099, 1113, 1122, 1124, 1125, 1128, 1132, 1134, 1136, 1145, 1149, 1152, 1155, 1157]"
21,29406,"[494, 498, 502, 509, 513, 519, 521, 526, 531, 534, 542, 553, 555, 558, 562, 563, 564, 595, 601, 604, 610, 611, 614, 615, 618, 624, 625, 626, 627, 632, 636, 666, 726, 779, 780, 781, 782, 786, 793, 806, 817, 818, 822, 823, 824, 826, 831, 834, 837, 846, 850, 851]"
40,26890,"[1, 3, 12, 14, 16, 18, 20, 28, 41, 50, 58, 71, 87, 88, 89, 91, 92, 96, 97, 98, 99, 106, 123, 145, 146, 148, 152, 155, 163, 187, 202, 212, 229, 259, 315, 317, 321, 326, 349, 358, 366, 377, 379]"
91,23794,"[385, 387, 388, 389, 390, 391, 394, 395, 398, 399, 400, 402, 403, 404, 406, 407, 408, 409, 412, 414, 415, 418, 419, 422, 424, 425, 426, 427, 428, 429, 430, 431, 432, 433, 434, 435, 439, 440, 442, 444, 445, 446, 447, 449, 450, 451, 452, 454, 455, 457, 458, 459, 460, 461, 463, 465, 466, 467, 468, 470, 471, 472, 473, 475, 477, 478, 479, 480, 481, 482, 483, 485, 486, 487, 488]"
90,23505,"[385, 387, 388, 389, 390, 391, 394, 398, 399, 400, 402, 403, 406, 407, 408, 409, 412, 414, 415, 418, 419, 422, 424, 425, 426, 427, 428, 429, 430, 431, 432, 433, 434, 435, 439, 440, 442, 444, 445, 446, 447, 448, 449, 450, 451, 452, 454, 455, 457, 458, 459, 460, 461, 463, 465, 466, 467, 468, 470, 472, 473, 475, 477, 478, 479, 480, 481, 482, 483, 484, 485, 486, 487, 488]"
