asrtname,mutantcnt
498,16
666,16
793,16
521,16
513,16
509,16
494,16
614,16
604,16
824,14
781,14
595,14
562,14
542,14
817,14
806,14
632,14
636,14
558,14
780,14
1271,14
1216,14
326,14
502,14
526,14
625,13
377,13
1113,13
1096,13
1478,13
534,13
1125,13
1093,13
358,13
1481,13
1482,13
1091,13
726,13
1486,13
1243,13
317,13
1128,13
187,13
618,13
152,13
1218,13
1134,13
1217,13
1145,13
1165,13
564,13
563,13
1169,13
1204,13
553,13
1203,13
1166,13
1,13
1275,13
1503,13
826,13
28,13
908,13
907,13
859,13
969,13
1497,13
87,13
88,13
851,13
18,13
822,13
846,13
909,13
782,13
1521,13
837,13
823,13
921,13
1458,12
1449,12
555,12
20,12
831,12
321,12
315,12
229,11
1149,11
1152,11
1265,11
1155,11
1255,11
834,11
1537,11
379,11
349,11
979,11
1239,11
97,11
1174,11
419,11
1232,11
919,11
872,11
946,11
1211,11
202,11
259,11
460,11
463,11
1535,11
465,11
414,11
96,11
1136,11
1099,11
1500,11
91,11
148,11
1122,11
123,11
998,11
779,11
145,11
155,11
1501,11
106,11
1491,11
1452,11
1095,11
163,11
98,11
429,10
459,10
71,10
1504,10
1124,10
3,10
1463,10
99,10
366,10
1006,9
1506,9
965,9
430,8
431,8
432,8
433,8
434,8
435,8
439,8
385,8
440,8
442,8
428,8
786,8
444,8
445,8
446,8
447,8
387,8
390,8
427,8
426,8
394,8
400,8
402,8
403,8
406,8
407,8
1487,8
389,8
408,8
409,8
14,8
415,8
418,8
388,8
422,8
424,8
391,8
425,8
454,8
486,8
1132,8
478,8
479,8
610,8
480,8
611,8
482,8
483,8
615,8
485,8
487,8
531,8
627,8
626,8
624,8
902,8
475,8
477,8
519,8
472,8
470,8
468,8
467,8
466,8
601,8
455,8
457,8
1205,7
1448,7
1538,7
1209,7
92,7
50,7
1450,7
398,7
41,7
1492,7
58,7
12,7
1157,7
412,7
399,7
89,7
450,7
449,7
458,7
461,7
473,7
481,7
451,7
488,7
16,7
484,6
850,6
1018,6
452,6
146,5
441,5
443,5
818,5
395,4
474,4
471,4
404,4
448,4
212,3
737,3
469,3
244,2
1041,2
1403,2
1376,2
225,1
631,1
131,1
1097,1
849,1
752,1
794,1
1401,1
331,1
286,1
783,1
1138,1
835,1
617,1
702,1
144,1
762,1
1419,1
1077,0
1063,0
1065,0
1066,0
1076,0
1068,0
1075,0
1074,0
1070,0
1071,0
1072,0
1484,0
1062,0
1073,0
1291,0
1055,0
1061,0
1047,0
1037,0
1038,0
1039,0
1040,0
1042,0
1043,0
1044,0
1045,0
1046,0
1048,0
1060,0
1050,0
1051,0
1052,0
1054,0
1080,0
1056,0
1057,0
1058,0
1059,0
1079,0
1085,0
1081,0
1475,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1474,0
1473,0
1123,0
1471,0
1470,0
1469,0
1468,0
1467,0
1466,0
1465,0
1126,0
1127,0
1464,0
1462,0
1461,0
1129,0
1114,0
1112,0
1082,0
1111,0
1083,0
1084,0
1086,0
1087,0
1088,0
1089,0
1090,0
1483,0
1092,0
1480,0
1479,0
1477,0
1476,0
1100,0
1101,0
1102,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1036,0
1033,0
1035,0
967,0
1529,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
964,0
1528,0
1527,0
968,0
982,0
1526,0
971,0
972,0
1525,0
1524,0
974,0
975,0
1523,0
976,0
1522,0
980,0
948,0
947,0
1530,0
945,0
1539,0
922,0
923,0
924,0
925,0
926,0
1536,0
1533,0
1532,0
930,0
931,0
932,0
1531,0
933,0
934,0
935,0
936,0
937,0
938,0
940,0
942,0
943,0
944,0
981,0
987,0
1034,0
1026,0
1505,0
1015,0
1017,0
1502,0
1019,0
1021,0
1499,0
1022,0
1023,0
1024,0
1025,0
1498,0
989,0
1496,0
1027,0
1028,0
1495,0
1490,0
1489,0
1488,0
1030,0
1031,0
1032,0
1457,0
1014,0
1013,0
1011,0
1010,0
990,0
1520,0
1519,0
991,0
992,0
1518,0
993,0
995,0
1517,0
996,0
1515,0
1514,0
1513,0
997,0
1512,0
1510,0
1509,0
999,0
1002,0
1003,0
1004,0
1507,0
1008,0
1130,0
1451,0
1456,0
1330,0
1343,0
1342,0
1341,0
1340,0
1231,0
1339,0
1338,0
1336,0
1333,0
1233,0
1331,0
1329,0
1379,0
1327,0
1325,0
1324,0
1323,0
1234,0
1322,0
1321,0
1320,0
1235,0
1319,0
1317,0
1344,0
1345,0
1346,0
1348,0
1377,0
1375,0
1229,0
1374,0
1373,0
1230,0
1371,0
1369,0
1368,0
1367,0
1365,0
1364,0
1363,0
1362,0
1361,0
1360,0
1359,0
1355,0
1354,0
1353,0
1352,0
1350,0
1349,0
1316,0
1236,0
1238,0
1261,0
1299,0
1264,0
1266,0
1267,0
1270,0
1298,0
1295,0
1272,0
1273,0
1274,0
1294,0
1276,0
1277,0
1278,0
1292,0
1279,0
1280,0
1281,0
1282,0
1283,0
1285,0
1286,0
1287,0
1262,0
1259,0
1315,0
1256,0
1314,0
1313,0
1240,0
1311,0
1309,0
1308,0
1307,0
1306,0
1241,0
1305,0
1242,0
1303,0
1244,0
1245,0
1247,0
1302,0
1248,0
1301,0
1249,0
1250,0
1251,0
1253,0
1300,0
1378,0
1227,0
1131,0
1431,0
1158,0
1159,0
1160,0
1162,0
1437,0
1436,0
1167,0
1435,0
1434,0
1433,0
1168,0
1430,0
1380,0
1172,0
1429,0
1427,0
1426,0
1175,0
1176,0
1182,0
1183,0
1184,0
1185,0
1187,0
1438,0
1156,0
1439,0
1154,0
1454,0
1133,0
1453,0
1290,0
1447,0
1135,0
1446,0
1137,0
1139,0
1445,0
1140,0
1141,0
1142,0
1144,0
1444,0
1146,0
1147,0
1148,0
1441,0
1150,0
1151,0
1440,0
1153,0
1424,0
1189,0
1191,0
1407,0
1223,0
1406,0
1224,0
1225,0
1404,0
1400,0
1399,0
1398,0
1397,0
1396,0
1395,0
1394,0
1393,0
1226,0
1392,0
1390,0
1389,0
1388,0
1387,0
1386,0
1385,0
1384,0
1381,0
1222,0
1221,0
1193,0
1220,0
1194,0
1195,0
1197,0
1199,0
1422,0
1201,0
1202,0
1421,0
1420,0
1418,0
