asrtname,failcount,mutantcnt,mutant
379,1873,16,"[1, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 25, 28, 5, 7, 8]"
332,3628,16,"[1, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 25, 28, 6, 7, 8]"
487,2813,16,"[1, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 25, 28, 5, 7, 8]"
486,2988,16,"[1, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 25, 28, 5, 7, 8]"
483,844,16,"[1, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 25, 28, 5, 7, 8]"
482,845,16,"[1, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 25, 28, 5, 7, 8]"
378,2065,16,"[1, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 25, 28, 5, 7, 8]"
375,1784,16,"[1, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 25, 28, 5, 7, 8]"
374,1768,16,"[1, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 25, 28, 5, 7, 8]"
333,3423,16,"[1, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 25, 28, 6, 7, 8]"
539,1463,15,"[1, 12, 2, 3, 4, 5, 6, 7, 89, 90, 91, 92, 93, 94, 95]"
484,796,14,"[1, 11, 12, 13, 14, 17, 19, 20, 21, 22, 28, 5, 7, 8]"
380,1868,14,"[1, 11, 12, 13, 14, 17, 19, 20, 21, 22, 28, 5, 7, 8]"
376,1764,14,"[1, 11, 12, 13, 14, 17, 19, 20, 21, 22, 28, 5, 7, 8]"
488,2836,14,"[1, 11, 12, 13, 14, 17, 19, 20, 21, 22, 28, 5, 7, 8]"
514,1042,13,"[10, 3, 5, 51, 52, 54, 55, 57, 58, 59, 60, 63, 66]"
411,1089,13,"[11, 4, 5, 70, 71, 73, 74, 76, 77, 78, 79, 82, 85]"
388,1410,13,"[2, 32, 33, 35, 36, 38, 39, 40, 41, 44, 47, 5, 9]"
392,1155,13,"[2, 32, 33, 35, 36, 38, 39, 40, 41, 44, 47, 5, 9]"
399,1267,13,"[10, 3, 5, 51, 52, 54, 55, 57, 58, 59, 60, 63, 66]"
400,1263,13,"[10, 3, 5, 51, 52, 54, 55, 57, 58, 59, 60, 63, 66]"
403,1197,13,"[10, 3, 5, 51, 52, 54, 55, 57, 58, 59, 60, 63, 66]"
404,1319,13,"[10, 3, 5, 51, 52, 54, 55, 57, 58, 59, 60, 63, 66]"
412,1430,13,"[11, 4, 5, 70, 71, 73, 74, 76, 77, 78, 79, 82, 85]"
377,2054,13,"[1, 12, 13, 14, 16, 17, 20, 21, 22, 25, 5, 7, 8]"
498,1220,13,"[2, 32, 33, 35, 36, 38, 39, 40, 41, 44, 47, 5, 9]"
415,1291,13,"[11, 4, 5, 70, 71, 73, 74, 76, 77, 78, 79, 82, 85]"
416,1079,13,"[11, 4, 5, 70, 71, 73, 74, 76, 77, 78, 79, 82, 85]"
432,1483,13,"[1, 12, 2, 4, 5, 6, 7, 89, 90, 91, 92, 93, 95]"
481,923,13,"[1, 12, 13, 14, 16, 17, 20, 21, 22, 25, 5, 7, 8]"
485,2799,13,"[1, 12, 13, 14, 16, 17, 20, 21, 22, 25, 5, 7, 8]"
387,1189,13,"[2, 32, 33, 35, 36, 38, 39, 40, 41, 44, 47, 5, 9]"
391,949,13,"[2, 32, 33, 35, 36, 38, 39, 40, 41, 44, 47, 5, 9]"
499,2046,13,"[2, 32, 33, 35, 36, 38, 39, 40, 41, 44, 47, 5, 9]"
502,918,13,"[2, 32, 33, 35, 36, 38, 39, 40, 41, 44, 47, 5, 9]"
521,2344,13,"[11, 4, 5, 70, 71, 73, 74, 76, 77, 78, 79, 82, 85]"
511,2047,13,"[10, 3, 5, 51, 52, 54, 55, 57, 58, 59, 60, 63, 66]"
520,2242,13,"[11, 4, 5, 70, 71, 73, 74, 76, 77, 78, 79, 82, 85]"
373,1668,13,"[1, 12, 13, 14, 16, 17, 20, 21, 22, 25, 5, 7, 8]"
510,1422,13,"[10, 3, 5, 51, 52, 54, 55, 57, 58, 59, 60, 63, 66]"
515,535,13,"[10, 3, 5, 51, 52, 54, 55, 57, 58, 59, 60, 63, 66]"
353,2484,13,"[11, 4, 6, 70, 71, 73, 74, 76, 77, 78, 79, 82, 85]"
503,519,13,"[2, 32, 33, 35, 36, 38, 39, 40, 41, 44, 47, 5, 9]"
352,2454,13,"[11, 4, 6, 70, 71, 73, 74, 76, 77, 78, 79, 82, 85]"
545,693,12,"[1, 12, 3, 4, 5, 7, 89, 90, 91, 92, 94, 95]"
543,649,12,"[1, 12, 2, 4, 5, 7, 89, 90, 91, 92, 93, 95]"
501,1652,11,"[2, 32, 33, 36, 38, 39, 40, 41, 47, 5, 9]"
413,1273,11,"[11, 4, 5, 70, 71, 74, 76, 77, 78, 79, 85]"
417,1295,11,"[11, 4, 5, 70, 71, 74, 76, 77, 78, 79, 85]"
509,803,11,"[10, 3, 5, 51, 52, 55, 57, 58, 59, 60, 66]"
410,1303,11,"[11, 4, 5, 70, 71, 73, 74, 77, 78, 79, 82]"
426,1526,11,"[12, 2, 4, 5, 6, 7, 89, 90, 91, 93, 95]"
512,2444,11,"[10, 3, 5, 51, 52, 54, 55, 58, 59, 60, 63]"
500,2544,11,"[2, 32, 33, 35, 36, 39, 40, 41, 44, 5, 9]"
522,2392,11,"[11, 4, 5, 70, 71, 74, 76, 77, 78, 79, 85]"
405,1224,11,"[10, 3, 5, 51, 52, 54, 55, 58, 59, 60, 63]"
513,1613,11,"[10, 3, 5, 51, 52, 55, 57, 58, 59, 60, 66]"
497,674,11,"[2, 32, 33, 36, 38, 39, 40, 41, 47, 5, 9]"
386,1190,11,"[2, 32, 33, 36, 38, 39, 40, 41, 47, 5, 9]"
402,1402,11,"[10, 3, 5, 51, 52, 55, 57, 58, 59, 60, 66]"
390,1136,11,"[2, 32, 33, 36, 38, 39, 40, 41, 47, 5, 9]"
389,1375,11,"[2, 32, 33, 35, 36, 39, 40, 41, 44, 5, 9]"
393,1169,11,"[2, 32, 33, 35, 36, 39, 40, 41, 44, 5, 9]"
398,1014,11,"[10, 3, 5, 51, 52, 55, 57, 58, 59, 60, 66]"
519,2275,11,"[11, 4, 5, 70, 71, 73, 74, 77, 78, 79, 82]"
401,1220,11,"[10, 3, 5, 51, 52, 54, 55, 58, 59, 60, 63]"
414,1113,11,"[11, 4, 5, 70, 71, 73, 74, 77, 78, 79, 82]"
540,1926,10,"[12, 2, 5, 6, 7, 89, 90, 91, 93, 95]"
560,49,2,"[2, 3]"
561,729,2,"[2, 3]"
569,734,2,"[2, 3]"
576,21,2,"[2, 3]"
591,44,2,"[2, 3]"
278,501,2,"[2, 3]"
269,544,2,"[2, 3]"
300,295,2,"[2, 3]"
270,556,2,"[2, 3]"
285,179,2,"[2, 3]"
32,2,1,[7]
36,1,1,[5]
564,0,0,[]
565,0,0,[]
566,0,0,[]
567,0,0,[]
38,0,0,[]
573,0,0,[]
574,0,0,[]
562,0,0,[]
577,0,0,[]
578,0,0,[]
579,0,0,[]
585,0,0,[]
586,0,0,[]
587,0,0,[]
588,0,0,[]
590,0,0,[]
563,0,0,[]
34,0,0,[]
268,0,0,[]
271,0,0,[]
299,0,0,[]
297,0,0,[]
