asrtname,mutantcnt
379,16
332,16
487,16
486,16
483,16
482,16
378,16
375,16
374,16
333,16
539,15
484,14
380,14
376,14
488,14
514,13
411,13
388,13
392,13
399,13
400,13
403,13
404,13
412,13
377,13
498,13
415,13
416,13
432,13
481,13
485,13
387,13
391,13
499,13
502,13
521,13
511,13
520,13
373,13
510,13
515,13
353,13
503,13
352,13
545,12
543,12
501,11
413,11
417,11
509,11
410,11
426,11
512,11
500,11
522,11
405,11
513,11
497,11
386,11
402,11
390,11
389,11
393,11
398,11
519,11
401,11
414,11
540,10
560,2
561,2
569,2
576,2
591,2
278,2
269,2
300,2
270,2
285,2
32,1
36,1
564,0
565,0
566,0
567,0
38,0
573,0
574,0
562,0
577,0
578,0
579,0
585,0
586,0
587,0
588,0
590,0
563,0
34,0
268,0
271,0
299,0
297,0
296,0
295,0
294,0
288,0
287,0
286,0
283,0
282,0
276,0
275,0
274,0
273,0
272,0
559,0
